original_id,company,profile_url,hall,stand
1015,Licharz GmbH,https://www.k-online.com/vis/v1/en/exhprofiles/g6FVwllcTPK0nFnnJcEp1g,5,F11
1124,Bekum Maschinenfabriken GmbH,https://www.k-online.com/vis/v1/en/exhprofiles/d1VBUWQBSfakWiMydUMP5g,14,C03
1140,HPL Additives Limited,https://www.k-online.com/vis/v1/en/exhprofiles/yLptHurgQIKpTfeEDPuutw,5,B27
1141,TotalEnergies Corbion bv,https://www.k-online.com/vis/v1/en/exhprofiles/5fUIF0TlQTGRp0eYvBTjXw,6,E20
1147,Chr Olesen Polymers GmbH,https://www.k-online.com/vis/v1/en/exhprofiles/npuVoAxxQ5uacLAPeZVK9g,7,
1176,Trexel GmbH,https://www.k-online.com/vis/v1/en/exhprofiles/N8BQTR5fTWu6EsxB5JEveQ,13,B46
1178,Krahn Chemie Deutschland GmbH,https://www.k-online.com/vis/v1/en/exhprofiles/fIp5RWdTRVW7J6cIY7DIZA,6,A62
1179,POLYTECHS SAS,https://www.k-online.com/vis/v1/en/exhprofiles/9mjjli2ORr2jcNfdC9tQ9A,5,D04-01
1181,AMIK ITALIA SPA,https://www.k-online.com/vis/v1/en/exhprofiles/tmQUMBWjQ1mCGpwwvvjgbQ,8b,C61
1182,Chemische Fabrik Budenheim KG,https://www.k-online.com/vis/v1/en/exhprofiles/zPRqBn4TR7208VPcjYmsVg,8a,D43
